fabricante,modelo,ano_fabricacao,categoria,couro_interior,tipo_combustivel,km_rodados,cilindradas,tipo_transmissao,tracao_rodas,qtd_portas,posicao_volante,cor,airbags,volume_motor,tipo_motor,preco_total
HONDA,FIT,2012,Hatchback,0,Hybrid,147000,4,Automatic,Front,4_portas,Right-hand drive,Silver,8,1.3,Comum,12231
MERCEDES-BENZ,C 250,2012,Sedan,1,Petrol,105000,4,Automatic,Rear,4_portas,Left wheel,Sky blue,12,1.8,Turbo,24462
TOYOTA,PRIUS C,2012,Sedan,1,Hybrid,83200,4,Automatic,Front,4_portas,Left wheel,Grey,8,1.5,Comum,19757
NISSAN,ALTIMA,2013,Sedan,1,Petrol,130877,6,Automatic,Front,4_portas,Left wheel,White,12,3.5,Comum,2545
SSANGYONG,ACTYON,2017,Jeep,1,Petrol,80425,4,Automatic,Front,4_portas,Left wheel,White,4,1.6,Comum,34654
TOYOTA,CHR,2019,Jeep,1,Petrol,24339,4,Automatic,Front,4_portas,Left wheel,Blue,12,2.0,Comum,1704
HYUNDAI,SONATA,2010,Sedan,1,Petrol,82764,4,Automatic,Front,4_portas,Left wheel,Black,4,2.0,Comum,14425
HYUNDAI,SONATA,2014,Sedan,1,Hybrid,104000,4,Tiptronic,Front,4_portas,Left wheel,Silver,6,2.4,Comum,24462
LEXUS,GX 460,2015,Jeep,1,Petrol,102907,8,Automatic,4x4,4_portas,Left wheel,Black,0,4.6,Comum,2352
LEXUS,GX 460,2017,Jeep,1,Petrol,69918,8,Automatic,4x4,4_portas,Left wheel,White,0,4.6,Comum,2695
HYUNDAI,TUCSON,2016,Jeep,1,Diesel,108782,4,Automatic,Front,4_portas,Left wheel,Silver,4,2.0,Comum,35796
BMW,325 CI,2004,Cabriolet,1,Petrol,174000,6,Tiptronic,Rear,2_portas,Left wheel,Silver,6,2.5,Comum,11917
NISSAN,JUKE,2011,Jeep,0,Petrol,158000,4,Variator,4x4,4_portas,Left wheel,Black,4,1.6,Turbo,17832
MERCEDES-BENZ,E 350,2010,Sedan,1,Diesel,274771,8,Automatic,Rear,4_portas,Left wheel,White,12,6.2,Comum,2724
HYUNDAI,I30,2011,Hatchback,1,Diesel,51859,4,Automatic,Front,4_portas,Left wheel,Silver,4,1.6,Comum,11873
BMW,335,2006,Coupe,1,Petrol,46656,6,Tiptronic,Rear,2_portas,Left wheel,Carnelian red,10,3.0,Comum,17858
DAEWOO,LACETTI,2009,Sedan,1,Petrol,159634,4,Automatic,Front,4_portas,Left wheel,Silver,4,1.6,Comum,5808
HYUNDAI,H1,2014,Minivan,1,Diesel,146216,4,Automatic,Front,4_portas,Left wheel,Silver,4,2.5,Comum,31527
KIA,OPTIMA,2015,Sedan,0,Petrol,68000,4,Tiptronic,Front,4_portas,Left wheel,Grey,10,2.4,Comum,16581
HYUNDAI,ELANTRA,2007,Sedan,1,Petrol,176869,4,Automatic,Front,4_portas,Left wheel,Silver,4,1.6,Comum,13187
MERCEDES-BENZ,SMART,2005,Hatchback,0,Petrol,100000,4,Automatic,Front,4_portas,Right-hand drive,White,5,1.5,Comum,3700
MERCEDES-BENZ,A 190,2005,Sedan,1,Petrol,122000,4,Tiptronic,Front,4_portas,Left wheel,Green,4,1.9,Comum,6272
MERCEDES-BENZ,E 350,2013,Coupe,1,Petrol,66500,6,Automatic,Rear,2_portas,Left wheel,Carnelian red,12,3.5,Comum,21753
TOYOTA,CAMRY,2014,Sedan,1,Petrol,53310,4,Automatic,Front,4_portas,Left wheel,Black,12,2.5,Comum,8931
HYUNDAI,SANTA FE,2010,Sedan,0,Petrol,170000,4,Tiptronic,Front,4_portas,Left wheel,Silver,10,2.4,Comum,24462
NISSAN,ALTIMA,2006,Sedan,0,Petrol,160000,6,Automatic,Front,4_portas,Left wheel,Black,6,2.5,Comum,8467
VOLKSWAGEN,JETTA ᲡᲞᲝᲠᲢ,2015,Sedan,1,Petrol,76800,4,Tiptronic,Front,4_portas,Left wheel,Grey,8,1.8,Turbo,18886
MERCEDES-BENZ,E 220,1996,Sedan,0,Diesel,380000,4,Manual,Rear,4_portas,Left wheel,Green,4,2.2,Comum,9375
TOYOTA,COROLLA LE,2015,Sedan,0,Petrol,68221,4,Automatic,Front,4_portas,Left wheel,White,6,1.8,Comum,20141
BMW,428,2015,Sedan,1,Petrol,0,4,Automatic,Rear,4_portas,Left wheel,White,12,2.0,Comum,8448
HYUNDAI,ELANTRA,2011,Sedan,1,Petrol,115934,4,Automatic,Front,4_portas,Left wheel,Black,4,1.6,Comum,20588
CHEVROLET,LACETTI,2009,Sedan,1,Petrol,132000,4,Automatic,Front,4_portas,Left wheel,Grey,4,1.6,Comum,11171
HYUNDAI,SONATA,2016,Sedan,1,LPG,235261,4,Automatic,Front,4_portas,Left wheel,Silver,4,2.0,Comum,16572
HYUNDAI,ELANTRA,2012,Sedan,1,Petrol,130658,4,Automatic,Front,4_portas,Left wheel,White,4,1.6,Comum,12448
BMW,X5,2011,Jeep,1,Petrol,176080,4,Tiptronic,4x4,4_portas,Left wheel,Black,12,3.5,Turbo,21243
SSANGYONG,KORANDO,2013,Jeep,1,Diesel,154162,4,Automatic,Front,4_portas,Left wheel,Blue,4,2.0,Comum,20056
TOYOTA,PRIUS,2014,Hatchback,1,Hybrid,49000,4,Automatic,Front,4_portas,Left wheel,Silver,12,1.8,Comum,20385
HYUNDAI,ELANTRA,2016,Sedan,1,LPG,27477,4,Automatic,Front,4_portas,Left wheel,Grey,4,1.6,Comum,20801
HYUNDAI,SANTA FE,2011,Jeep,1,Diesel,240250,4,Automatic,Front,4_portas,Left wheel,Silver,4,2.0,Comum,14669
TOYOTA,AQUA,2012,Hatchback,1,Petrol,112000,4,Automatic,Front,4_portas,Left wheel,Red,4,1.5,Comum,18347
HONDA,FIT,2011,Sedan,0,Hybrid,122233,4,Variator,Front,4_portas,Right-hand drive,Blue,0,1.3,Comum,8763
SSANGYONG,KORANDO,2014,Jeep,1,Diesel,42202,4,Automatic,Front,4_portas,Left wheel,Grey,4,2.0,Comum,20883
FORD,TRANSIT CONNECT ᲑᲔᲜᲖᲘᲜᲘ,2014,Goods wagon,0,Petrol,200968,4,Tiptronic,Front,4_portas,Left wheel,White,4,2.5,Comum,10185
CHEVROLET,CRUZE,2012,Sedan,1,Petrol,156779,4,Automatic,Front,4_portas,Left wheel,Black,4,1.8,Comum,11544
HYUNDAI,TUCSON,2011,Jeep,1,Diesel,114000,4,Automatic,Front,4_portas,Left wheel,Grey,4,2.0,Comum,21888
HONDA,CR-V,2005,Jeep,0,Petrol,125000,4,Manual,4x4,4_portas,Left wheel,Black,6,2.4,Comum,15994
TOYOTA,PRIUS,2012,Hatchback,0,Hybrid,233562,4,Automatic,Front,4_portas,Left wheel,Silver,8,1.8,Comum,14855
FORD,FUSION,2013,Sedan,1,Hybrid,320554,4,Automatic,Front,4_portas,Left wheel,White,0,2.0,Comum,4403
VOLKSWAGEN,GOLF,1999,Hatchback,0,Petrol,217000,4,Manual,Front,4_portas,Left wheel,Blue,2,1.4,Comum,3000
HYUNDAI,H1,2014,Minivan,1,Diesel,96893,4,Automatic,Front,4_portas,Left wheel,Silver,4,2.5,Comum,32358
TOYOTA,PRIUS,2013,Hatchback,0,Hybrid,72000,4,Automatic,Front,4_portas,Left wheel,White,12,1.8,Comum,23207
MERCEDES-BENZ,C 180,1996,Sedan,0,Petrol,230000,4,Manual,Rear,4_portas,Left wheel,Red,2,1.8,Comum,6500
BMW,328,2002,Sedan,0,Petrol,55556665,6,Manual,Rear,4_portas,Left wheel,Silver,6,2.8,Comum,9095
BMW,X5,2017,Jeep,1,Petrol,81658,6,Automatic,4x4,4_portas,Left wheel,White,12,3.0,Comum,18416
CHEVROLET,VOLT,2014,Hatchback,1,Hybrid,112123,4,Automatic,Front,4_portas,Left wheel,Silver,12,1.4,Comum,3395
LEXUS,GX 460,2010,Jeep,1,Petrol,275240,8,Automatic,4x4,4_portas,Left wheel,Silver,0,4.6,Comum,17492
HYUNDAI,TUCSON,2013,Jeep,1,Diesel,64259,4,Automatic,Front,4_portas,Left wheel,Grey,4,2.0,Comum,21276
KIA,SORENTO,2013,Jeep,0,Petrol,208077,4,Automatic,Front,4_portas,Left wheel,Silver,7,2.4,Comum,26153
HYUNDAI,SONATA,2016,Sedan,1,LPG,410884,4,Automatic,Front,4_portas,Left wheel,White,4,2.0,Comum,20805
HYUNDAI,ELANTRA LIMITED,2016,Sedan,1,Petrol,17600,4,Tiptronic,Front,4_portas,Left wheel,Black,6,2.0,Comum,22844
MERCEDES-BENZ,SPRINTER MAX,2007,Microbus,0,Diesel,0,6,Tiptronic,Rear,4_portas,Left wheel,White,6,3.0,Turbo,20705
TOYOTA,VITZ,2007,Sedan,0,Petrol,83000,4,Automatic,Front,4_portas,Right-hand drive,Silver,4,1.3,Comum,10976
MERCEDES-BENZ,E 350,2011,Sedan,1,Diesel,119379,6,Automatic,4x4,4_portas,Left wheel,Silver,12,3.5,Comum,17793
HYUNDAI,ELANTRA,2012,Sedan,1,Petrol,87000,4,Automatic,Front,4_portas,Left wheel,Silver,8,1.8,Comum,15326
TOYOTA,CAMRY S,2007,Sedan,0,LPG,167421,4,Automatic,Front,4_portas,Left wheel,Silver,6,2.4,Comum,17876
NISSAN,X-TRAIL,2002,Jeep,0,Petrol,135000,4,Automatic,4x4,4_portas,Left wheel,Golden,2,2.0,Comum,11604
OPEL,ASTRA,2001,Hatchback,0,Petrol,147000,4,Manual,Front,4_portas,Left wheel,Silver,4,1.6,Comum,10036
HONDA,FIT SPORT,2010,Hatchback,0,Petrol,164800,4,Automatic,Front,4_portas,Left wheel,Silver,8,1.5,Comum,11155
TOYOTA,PRIUS,2010,Hatchback,1,Hybrid,226000,4,Automatic,Front,4_portas,Left wheel,Blue,8,1.8,Comum,10107
TOYOTA,SIENNA,2011,Sedan,1,Petrol,210538,6,Automatic,Front,4_portas,Left wheel,White,12,3.5,Comum,8385
CHEVROLET,CAPTIVA,2014,Jeep,1,Petrol,103000,6,Automatic,4x4,4_portas,Left wheel,Silver,6,3.0,Comum,25089
BMW,325,1995,Sedan,1,Petrol,300000,6,Manual,Rear,4_portas,Left wheel,Black,9,2.5,Comum,5331
BMW,330,2010,Coupe,1,Petrol,178000,6,Tiptronic,Rear,2_portas,Left wheel,Black,6,3.0,Turbo,5645
CHEVROLET,CRUZE LT,2016,Sedan,0,Petrol,79000,4,Tiptronic,Front,4_portas,Left wheel,White,12,1.4,Turbo,14763
TOYOTA,PRIUS,2012,Hatchback,0,Hybrid,59000,4,Variator,Front,4_portas,Left wheel,Black,12,1.8,Comum,22266
CHEVROLET,VOLT,2012,Sedan,1,Plug-in Hybrid,107169,4,Automatic,Front,4_portas,Left wheel,Black,8,1.4,Comum,9570
BMW,X6,2012,Jeep,1,Petrol,0,8,Automatic,4x4,4_portas,Left wheel,White,12,4.4,Comum,1935
LEXUS,RX 450,2013,Jeep,1,Hybrid,361603,6,Automatic,Front,4_portas,Left wheel,Black,12,3.5,Comum,1996
CHEVROLET,CAPTIVA,2007,Jeep,1,Diesel,50412,4,Automatic,Front,4_portas,Left wheel,White,4,2.0,Comum,6619
HONDA,CIVIC,1995,Hatchback,0,Petrol,272000,4,Manual,Front,2_portas,Left wheel,Red,2,1.5,Comum,6272
HONDA,FIT,2015,Hatchback,1,Hybrid,152203,4,Automatic,Front,4_portas,Left wheel,Silver,4,1.5,Comum,9964
OPEL,VECTRA B,1996,Sedan,0,CNG,0,4,Manual,Front,4_portas,Left wheel,Blue,2,1.8,Comum,4547
MERCEDES-BENZ,E 350,2016,Sedan,1,Diesel,77205,6,Automatic,Rear,4_portas,Left wheel,Grey,12,3.5,Comum,3061
RENAULT,LAGUNA,1996,Universal,0,Petrol,10000,4,Manual,Front,4_portas,Left wheel,Blue,2,1.6,Comum,1700
MERCEDES-BENZ,E 350,2014,Sedan,1,Petrol,99562,6,Automatic,4x4,4_portas,Left wheel,Black,12,3.5,Comum,1994
NISSAN,MARCH,2013,Hatchback,1,Petrol,86146,4,Automatic,Front,4_portas,Left wheel,Black,4,1.2,Comum,5628
TOYOTA,PRIUS,2010,Sedan,0,Hybrid,277000,4,Automatic,Front,4_portas,Left wheel,White,10,1.8,Comum,14874
HYUNDAI,SONATA,2014,Sedan,1,Petrol,89000,4,Tiptronic,Front,4_portas,Left wheel,White,0,2.4,Comum,13293
TOYOTA,CAMRY,2011,Sedan,0,Hybrid,123345,4,Tiptronic,Front,4_portas,Left wheel,Grey,12,2.5,Comum,13093
TOYOTA,HIGHLANDER,2012,Jeep,1,Hybrid,0,6,Automatic,4x4,4_portas,Left wheel,Grey,12,3.5,Comum,1607
TOYOTA,IPSUM S,2004,Minivan,0,LPG,177000,4,Automatic,Front,4_portas,Right-hand drive,Silver,4,2.4,Comum,14113
HYUNDAI,SANTA FE,2010,Jeep,1,Diesel,208130,4,Automatic,Front,4_portas,Left wheel,Silver,4,2.0,Comum,21625
ACURA,TLX,2015,Sedan,1,Petrol,70562,6,Automatic,4x4,4_portas,Left wheel,White,12,3.5,Comum,11622
MINI,COOPER S CABRIO R56,2010,Coupe,0,Petrol,101000,4,Manual,Front,2_portas,Left wheel,White,8,1.6,Turbo,14113
HONDA,CR-V,1996,Jeep,0,CNG,240000,4,Automatic,Front,4_portas,Right-hand drive,Carnelian red,4,2.0,Comum,5175
HYUNDAI,ELANTRA,2013,Hatchback,1,Petrol,93650,4,Automatic,Front,4_portas,Left wheel,Blue,12,1.8,Comum,1839
TOYOTA,CAMRY,2013,Sedan,0,Hybrid,220000,4,Variator,Front,4_portas,Left wheel,White,10,2.5,Comum,18503
MERCEDES-BENZ,ML 350,2012,Jeep,1,Diesel,271701,6,Automatic,4x4,4_portas,Left wheel,White,12,3.0,Comum,27576
TOYOTA,CAMRY,2013,Sedan,1,Petrol,152000,4,Tiptronic,Front,4_portas,Left wheel,Black,8,2.5,Comum,20500
JEEP,COMPASS,2010,Jeep,1,Petrol,140000,4,Automatic,Front,4_portas,Left wheel,Green,4,2.4,Comum,20267
LEXUS,LS 460,2014,Sedan,1,Petrol,208267,8,Automatic,Rear,4_portas,Left wheel,Silver,12,4.6,Comum,1983
TOYOTA,PRIUS,2012,Hatchback,0,Hybrid,160000,4,Variator,Front,4_portas,Left wheel,Grey,16,1.8,Comum,19089
MAZDA,MX-5,2015,Sedan,1,Petrol,82654,4,Automatic,Rear,4_portas,Left wheel,Grey,12,2.0,Comum,3901
HYUNDAI,H1,2014,Minivan,1,Diesel,131957,4,Automatic,Front,4_portas,Left wheel,White,4,2.5,Comum,33189
HYUNDAI,ELANTRA,2015,Sedan,1,Petrol,135378,4,Automatic,Front,4_portas,Left wheel,White,4,1.6,Comum,17250
VOLKSWAGEN,CRAFTER,2007,Goods wagon,0,Diesel,228000,4,Manual,Rear,4_portas,Left wheel,White,2,2.5,Turbo,22577
TOYOTA,PRIUS PLUGIN,2012,Hatchback,0,Plug-in Hybrid,75000,12,Automatic,Front,4_portas,Left wheel,Silver,10,1.8,Comum,25716
DAIHATSU,TERIOS,2017,Sedan,1,Petrol,55765,8,Automatic,Rear,4_portas,Left wheel,White,12,5.7,Comum,11831
BMW,114,2017,Sedan,1,Hybrid,0,4,Automatic,Rear,4_portas,Left wheel,Black,12,2.0,Comum,3931
TOYOTA,RAV 4,2010,Jeep,1,Petrol,108456,4,Automatic,4x4,4_portas,Left wheel,Silver,12,2.5,Comum,8237
HYUNDAI,SONATA,2014,Sedan,1,LPG,312690,4,Automatic,Front,4_portas,Left wheel,Silver,4,2.0,Comum,12243
HYUNDAI,ELANTRA,2018,Sedan,1,Petrol,63195,4,Automatic,Front,4_portas,Left wheel,Black,12,2.0,Comum,4058
KIA,CADENZA,2015,Sedan,1,Petrol,53772,4,Automatic,Front,4_portas,Left wheel,Silver,4,3.0,Comum,16784
FORD,FIESTA,2013,Hatchback,1,Petrol,72000,4,Automatic,Front,4_portas,Left wheel,Black,0,1.7,Comum,13101
TOYOTA,CAMRY,2013,Sedan,1,Petrol,90000,4,Tiptronic,Front,4_portas,Left wheel,Grey,12,2.5,Comum,18968
BMW,X5,2009,Jeep,1,Petrol,85000,6,Tiptronic,4x4,4_portas,Left wheel,Black,5,4.8,Comum,35751
MERCEDES-BENZ,E 320,1998,Sedan,1,CNG,230000,6,Automatic,Rear,4_portas,Left wheel,Black,6,3.2,Comum,9408
HYUNDAI,SONATA 2.0T,2012,Sedan,1,Petrol,203200,4,Tiptronic,Front,4_portas,Left wheel,Black,8,2.0,Turbo,20385
HONDA,CIVIC,2019,Sedan,1,Petrol,2927,4,Automatic,Front,4_portas,Left wheel,Grey,4,2.0,Comum,35712
CHEVROLET,ORLANDO,2013,Jeep,1,Diesel,143743,4,Automatic,Front,4_portas,Left wheel,White,4,2.0,Comum,18582
HYUNDAI,ELANTRA,2013,Sedan,0,Petrol,80699,4,Automatic,Front,4_portas,Left wheel,Black,0,1.8,Comum,12659
TOYOTA,PRIUS,2010,Hatchback,0,Hybrid,208000,4,Automatic,Front,4_portas,Left wheel,Blue,8,1.8,Comum,15030
VOLKSWAGEN,JETTA,2012,Sedan,1,Petrol,120800,5,Tiptronic,Front,4_portas,Left wheel,Silver,6,2.5,Comum,19757
MERCEDES-BENZ,ML 350,2013,Jeep,1,Petrol,127416,6,Automatic,4x4,4_portas,Left wheel,White,12,3.5,Comum,1761
HONDA,FIT,2005,Hatchback,1,Petrol,170000,4,Variator,Front,4_portas,Right-hand drive,Beige,6,1.5,Comum,8781
FORD,FUSION,2017,Sedan,1,Hybrid,112862,4,Automatic,Front,4_portas,Left wheel,Blue,12,2.0,Comum,7537
HYUNDAI,H1,2010,Minivan,1,Diesel,60517,4,Automatic,Front,4_portas,Left wheel,Yellow,4,2.5,Comum,11060
HYUNDAI,SONATA,2015,Sedan,1,LPG,333804,4,Automatic,Front,4_portas,Left wheel,Silver,4,2.0,Comum,11428
CHEVROLET,LACETTI,2010,Sedan,1,Petrol,176682,4,Automatic,Front,4_portas,Left wheel,Black,4,1.8,Comum,13017
MITSUBISHI,COLT,2006,Hatchback,0,Petrol,169969,4,Automatic,Front,4_portas,Right-hand drive,Silver,2,1.5,Turbo,8000
FORD,FOCUS,2013,Sedan,1,Petrol,1000,4,Tiptronic,Front,4_portas,Left wheel,White,6,2.0,Comum,11604
DODGE,CHALLENGER,2010,Coupe,0,Petrol,0,8,Manual,4x4,2_portas,Left wheel,Black,8,5.7,Comum,14000
TOYOTA,PRIUS C,2008,Hatchback,0,Petrol,180000,4,Variator,Front,5_ou_mais_portas,Left wheel,Blue,8,1.5,Comum,8683
CHEVROLET,CRUZE,2014,Sedan,1,Petrol,147718,4,Automatic,Front,4_portas,Left wheel,White,12,1.4,Turbo,17722
MERCEDES-BENZ,E 280,2008,Sedan,1,Diesel,284500,6,Tiptronic,Rear,4_portas,Left wheel,Silver,12,2.8,Turbo,21639
HYUNDAI,ELANTRA,2016,Sedan,1,Petrol,121840,4,Automatic,Front,4_portas,Left wheel,Blue,12,1.8,Comum,8493
HYUNDAI,ELANTRA,2010,Sedan,1,Petrol,86660,4,Automatic,Front,4_portas,Left wheel,Silver,4,1.6,Comum,13865
TOYOTA,TACOMA,2014,Sedan,1,Petrol,238203,6,Automatic,4x4,4_portas,Left wheel,Grey,12,4.0,Comum,1739
TOYOTA,CAMRY,2014,Sedan,1,Hybrid,179381,4,Automatic,Front,4_portas,Left wheel,Black,12,2.5,Comum,11527
TOYOTA,PRIUS,2017,Sedan,1,Hybrid,47672,4,Automatic,Front,4_portas,Left wheel,White,12,1.8,Comum,2324
MERCEDES-BENZ,C 180,2009,Sedan,0,Petrol,214500,4,Manual,Rear,4_portas,Left wheel,Black,4,1.8,Comum,10976
HONDA,CIVIC,2015,Sedan,1,Petrol,67190,4,Automatic,Front,4_portas,Left wheel,White,4,1.8,Comum,35269
BMW,320,2014,Sedan,1,Petrol,59000,4,Tiptronic,Rear,4_portas,Left wheel,Black,12,2.0,Turbo,24160
HYUNDAI,SONATA,2014,Sedan,1,Petrol,111111,6,Tiptronic,Front,4_portas,Left wheel,White,6,2.4,Comum,17998
MERCEDES-BENZ,C 180,2001,Sedan,0,Petrol,307651,4,Manual,Rear,4_portas,Right-hand drive,Blue,6,2.0,Comum,4200
TOYOTA,RAV 4,2015,Jeep,1,Petrol,73931,4,Automatic,Front,4_portas,Left wheel,Silver,0,2.5,Comum,29159
TOYOTA,CAMRY,2012,Sedan,1,Hybrid,156518,4,Automatic,Front,4_portas,Left wheel,White,12,2.5,Comum,4388
HYUNDAI,SONATA S,2013,Sedan,0,Petrol,88600,4,Automatic,Front,4_portas,Left wheel,White,6,1.8,Comum,18033
TOYOTA,TUNDRA,2013,Coupe,1,Petrol,234683,8,Automatic,Rear,4_portas,Left wheel,White,12,5.7,Comum,1789
CHEVROLET,ORLANDO,2013,Jeep,1,Diesel,71338,4,Automatic,Front,4_portas,Left wheel,Silver,4,2.0,Comum,11312
MERCEDES-BENZ,B 170,2007,Sedan,0,Petrol,142000,4,Tiptronic,Front,4_portas,Right-hand drive,Silver,8,1.7,Comum,9408
KIA,CERATO,2016,Sedan,1,Diesel,29420,4,Automatic,Front,4_portas,Left wheel,Silver,4,1.6,Comum,19383
MINI,COUNTRYMAN,2011,Hatchback,1,Petrol,123984,4,Automatic,Front,4_portas,Left wheel,Green,8,1.6,Comum,18817
SUBARU,LEGACY,2004,Sedan,0,Petrol,101000,4,Tiptronic,4x4,4_portas,Right-hand drive,Silver,6,2.0,Turbo,6899
FORD,EDGE,2011,Jeep,1,Petrol,193013,6,Automatic,4x4,4_portas,Left wheel,White,12,3.5,Comum,3132
SSANGYONG,REXTON,2011,Jeep,1,Diesel,200241,4,Automatic,Front,4_portas,Left wheel,Black,4,2.0,Comum,20712
TOYOTA,PRIUS,2007,Hatchback,1,Hybrid,297600,4,Automatic,Front,4_portas,Left wheel,Sky blue,6,1.5,Comum,11290
HYUNDAI,SONATA,2014,Sedan,1,LPG,185302,4,Automatic,Front,4_portas,Left wheel,White,4,2.0,Comum,14438
HYUNDAI,VELOSTER,2013,Sedan,1,Petrol,185570,4,Automatic,Front,4_portas,Left wheel,Black,12,1.6,Comum,3509
MERCEDES-BENZ,E 350,2012,Sedan,1,Diesel,128202,6,Automatic,Rear,4_portas,Left wheel,Black,12,3.5,Comum,5919
CHRYSLER,PT CRUISER,2003,Sedan,1,LPG,110000,4,Tiptronic,Front,4_portas,Left wheel,Beige,4,2.0,Comum,7840
OPEL,ASTRA 1600,1999,Sedan,0,Petrol,100000,4,Manual,Front,4_portas,Left wheel,Blue,3,1.6,Comum,6272
HYUNDAI,H1,2014,Minivan,1,Diesel,114142,4,Automatic,Front,4_portas,Left wheel,Silver,4,3.0,Comum,32496
HYUNDAI,SONATA,2015,Sedan,1,LPG,546691,4,Automatic,Front,4_portas,Left wheel,Orange,4,2.0,Comum,10017
HONDA,FIT,2012,Hatchback,0,Hybrid,60000,4,Variator,Front,4_portas,Right-hand drive,Black,4,1.3,Comum,9578
MERCEDES-BENZ,E 350,2010,Sedan,1,Diesel,189530,6,Automatic,4x4,4_portas,Left wheel,Black,12,3.5,Comum,13787
HYUNDAI,SONATA BLUE EDITION,2011,Sedan,1,Hybrid,179200,4,Tiptronic,Front,4_portas,Left wheel,Grey,6,2.4,Comum,19757
HYUNDAI,SONATA,2014,Sedan,1,LPG,54546,4,Automatic,Front,4_portas,Left wheel,Silver,4,2.0,Comum,11938
SUBARU,FORESTER,2017,Jeep,1,Petrol,74562,4,Automatic,4x4,4_portas,Left wheel,Grey,0,2.5,Comum,2111
MERCEDES-BENZ,CLS 55 AMG,2016,Sedan,1,Petrol,49968,6,Automatic,4x4,4_portas,Left wheel,White,12,3.0,Comum,3017
MERCEDES-BENZ,E 220,2003,Sedan,1,Diesel,280000,4,Tiptronic,Rear,4_portas,Left wheel,Blue,5,2.2,Turbo,10976
TOYOTA,HIGHLANDER,2008,Jeep,1,Hybrid,318467,6,Automatic,4x4,4_portas,Left wheel,Blue,12,3.3,Comum,2001
CHEVROLET,EQUINOX,2011,Jeep,1,Petrol,80000,4,Automatic,Front,4_portas,Left wheel,White,12,2.4,Comum,2399
TOYOTA,AQUA,2013,Hatchback,1,Petrol,133682,4,Automatic,Front,4_portas,Left wheel,White,4,1.5,Comum,11679
HYUNDAI,SANTA FE,2010,Jeep,1,Diesel,188083,4,Automatic,Front,4_portas,Left wheel,Black,4,2.0,Comum,23974
TOYOTA,PRIUS,2005,Hatchback,0,Hybrid,259000,4,Variator,Front,4_portas,Left wheel,White,2,1.5,Comum,10976
VOLKSWAGEN,JETTA,2012,Sedan,1,Petrol,120640,5,Tiptronic,Front,4_portas,Left wheel,Silver,6,2.5,Comum,19757
TOYOTA,PRIUS,2014,Jeep,1,Hybrid,339710,4,Automatic,Front,4_portas,Left wheel,White,12,1.8,Comum,14421
OPEL,COMBO,2003,Goods wagon,0,Diesel,235000,4,Manual,Rear,2_portas,Left wheel,Blue,2,1.7,Comum,7397
TOYOTA,RAV 4,2012,Jeep,0,Petrol,83500,4,Automatic,4x4,4_portas,Left wheel,Carnelian red,4,2.5,Comum,25089
HYUNDAI,ELANTRA,2013,Sedan,0,Petrol,50545,4,Tiptronic,Front,4_portas,Left wheel,Grey,8,1.8,Comum,16893
CHEVROLET,CAPTIVA,2007,Jeep,1,Diesel,76198,4,Automatic,Front,4_portas,Left wheel,Silver,4,2.0,Comum,7711
FORD,FOCUS,2014,Sedan,0,Petrol,81000,4,Automatic,Front,4_portas,Left wheel,Grey,0,2.0,Comum,13183
LEXUS,ES 350,2011,Sedan,1,Petrol,229736,6,Automatic,Front,4_portas,Left wheel,Grey,12,3.5,Comum,1721
BMW,320 M,2001,Universal,0,Petrol,183000,4,Tiptronic,Rear,4_portas,Right-hand drive,Black,6,1.9,Comum,12348
AUDI,A6,2002,Sedan,1,Petrol,0,6,Automatic,4x4,4_portas,Left wheel,Silver,0,2.7,Turbo,4800
FORD,ESCAPE,2010,Jeep,1,Hybrid,174926,4,Automatic,Front,4_portas,Left wheel,Grey,0,2.5,Comum,1886
LEXUS,RX 450,2010,Jeep,1,Hybrid,311949,6,Automatic,Front,4_portas,Left wheel,Silver,12,3.5,Comum,1681
HYUNDAI,ELANTRA,2012,Sedan,1,Petrol,125581,4,Automatic,Front,4_portas,Left wheel,Silver,4,1.6,Comum,17130
FIAT,500,2015,Coupe,0,Petrol,19000,4,Manual,Front,4_portas,Left wheel,Grey,10,1.4,Comum,15929
MERCEDES-BENZ,C 200,2003,Sedan,0,Diesel,299000,4,Tiptronic,Rear,4_portas,Left wheel,Silver,0,2.2,Comum,11604
TOYOTA,RAV 4,2010,Jeep,1,Petrol,167300,4,Variator,4x4,5_ou_mais_portas,Left wheel,Blue,8,2.0,Comum,23207
TOYOTA,PRIUS,2010,Sedan,0,Petrol,162000,4,Automatic,Front,4_portas,Left wheel,Grey,12,1.8,Comum,18503
FORD,ESCAPE,2008,Jeep,1,Hybrid,349288,4,Automatic,Front,4_portas,Left wheel,Blue,0,0.4,Comum,1622
HYUNDAI,H1,2014,Minivan,1,Diesel,110483,4,Automatic,Front,4_portas,Left wheel,Yellow,4,2.5,Comum,36513
TOYOTA,AQUA,2014,Hatchback,1,Petrol,35000,4,Automatic,Front,4_portas,Left wheel,Orange,4,1.5,Comum,26139
MERCEDES-BENZ,CLK 430,1999,Coupe,1,Petrol,115000,8,Tiptronic,Rear,2_portas,Left wheel,Silver,4,4.3,Comum,7213
TOYOTA,PRIUS,2010,Hatchback,0,Petrol,0,4,Automatic,Front,4_portas,Left wheel,Grey,8,1.8,Comum,15681
OPEL,ASTRA,1997,Goods wagon,0,CNG,0,4,Manual,Front,4_portas,Left wheel,White,2,1.6,Comum,5331
